,rol,corte,fecha,folio,tramite,descripcion,fecha_ingreso,CLASIFICACION_CORRECTA,CLASIFICACION_NUM
1567,2506-2023,Talca,03/01/2024,8.0,Resolución,Dese Cuenta en Sala/Inf.,15/12/2023,Dese Cuenta,11
1570,342-2024,Chillan,16/09/2024,21.0,Resolución,Comunica N° 14,28/03/2024,Art / Numeral,7
1571,170239-2022,Valparaíso,07/12/2022,4.0,Resolución,(11.) Interpuesto Recurso de P,01/12/2022,Admisibles,3
1578,13256-2024,Concepción,04/07/2024,18.0,Resolución,Nota de Acuerdo: Redacción Claudia Vilches,09/05/2024,Acuerdo,1
1582,,,,,,(TF) certifiquese Duplicidad (PBD,,Certifiquese,8
1592,18158-2024,Concepción,26/07/2024,7.0,Resolución,Ev.Informe Sup.Salud,15/07/2024,Evacua Informe,12
1596,273-2024,Copiapó,07/06/2024,10.0,Resolución,T. pst renuncia y nuevo PyP,29/05/2024,Téngase Presente,28
1601,,,,,,La apelación se archiva por falta de información proporcionada por la isapre ,,Archivado,6
1607,,,,,,(GES2026) certifíquese Duplicidad (PBD,,Certifiquese,8
1610,,,,,,Inicio de tramitacion del apelación.,,Inicio Tramitación,21
1611,,,,,,Inadm. Falta de fundamentación jurídica adecuada.,,Incompetencia,19
1614,31108-2022,San Miguel,10/04/2023,7.0,Resolución,"GES.Por Evacuado Informe, en r",30/11/2022,Evacua Informe,12
1618,2323-2024,Valdivia,04/10/2024,8.0,Resolución,Previamente pídase cuenta a la recurrida del informe ordenado remitir en estos autos.,28/08/2024,Ica Solicita Diligencia,17
1620,,,,,,"Por falta de transparencia en contratos de isapres, se establece una multa de de 500 a 1000 UTM.",,Multa,22
1627,2417-2023,Valdivia,19/12/2023,6.0,Resolución,Concede ampliación de plazo por el término de 06 días,07/12/2023,Ica Amplia Plazo,15
1642,7004-2024,Concepción,30/09/2024,12.0,Resolución,Estese al mérito de autos.,09/04/2024,Ica Informa,16
1653,682-2024,Concepción,01/02/2024,5.0,Resolución,(NC) Acoge a tramitación (PBD),02/04/2024,Admisibles,3
1657,,,,,,Teng. pres. la certificación por la parte Dte.,,Certifiquese,8
1659,,,,,,"Acogida la acción, se dispone mantener PB2024 sin alza, con costas parciales.",,Acoge,0
1673,5293-2024,Temuco,23/07/2024,4.0,Resolución,"Se declara admissible, 08 días. Concede ONI.",20/07/2024,Admisibles,3
1679,1170-2019,Punta Arenas,22/05/2020,26.0,Resolución,Pide Informe Cumplimiento y Tr,30/09/2019,Ica Informa,16
1682,,,,,,"Por aumento desproporcionado de planes de isapres, se multó con un rango de de 100 a 300 UTM.",,Multa,22
1688,,,,,,Prescinden  de la Imputado por no comparecer.,,Prescinde,25
1690,4970-2024,Santiago,19/07/2024,10.0,Resolución,Agréguese Extraordinariamente a la tabla del 24 de julio,28/03/2024,Agréguese A Tabla,4
1698,1466-2019,Punta Arenas,02/04/2024,42.0,Resolución,"A todo: Atendido el mérito de los antecedentes, no ha lugar.",04/10/2019,Nhl,23
1699,29817-2022,San Miguel,25/06/2024,12.0,Sentencia,Omite Pronunciamiento,25/11/2022,Inadmisible/Omite,18
1704,3957-2024,Temuco,17/09/2024,11.0,Resolución,Agréguese Extraordinariamente a la tabla del 25 de septiembre,07/05/2024,Agréguese A Tabla,4
1707,17642-2024,Concepción,10/12/2024,13.0,Resolución,Cúmplase CS (PBD),28/06/2024,Cs,10
1713,,,,,,al folio 8: NHL lo Solic. ,,Nhl,23
1718,10744-2021,Antofagasta,09/03/2023,45.0,Resolución,Pide Informe reval vale vista,01/11/2021,Ica Solicita Diligencia,17
1720,13908-2023,Santiago,25/09/2023,7.0,Resolución,"Cúmplase, Admisible. Se declara admisible, 05 días. Dese cuenta ONI.",06/09/2023,Admisibles,3
1721,2074-2024,Valdivia,28/08/2024,6.0,Resolución,Pasen los antec. a la sala tramitadora,30/07/2024,Ica Informa,16
1722,224-2024,Punta Arenas,13/06/2024,13.0,Resolución,Téngase Present el pyp,11/04/2024,Téngase Presente,28
1724,3338-2023,Antofagasta,10/08/2023,8.0,Sentencia,Acogida con costas.,15/06/2023,Acoge,0
1726,7936-2023,Temuco,09/04/2024,31.0,Resolución,Dese Cuenta en Sala2,15/06/2023,Dese Cuenta,11
1727,,,,,,al folio 46: d cuenta,,Dese Cuenta,11
1728,,,,,,Se inhabilita Abogada Valenzuela,,Inhabilidad,20
1734,476-2024,Antofagasta,04/04/2024,5.0,Sentencia,DOBLE INGRESO,29/03/2024,Ica Informa,16
1740,480-2024,Chillan,24/05/2024,11.0,Resolución,Agréguese Extraordinariamente a la tabla del lunes veintisiete de mayo del año,16/04/2024,Agréguese A Tabla,4
1741,3788-2024,Valparaíso,12/07/2024,13.0,Resolución,Dese Cuenta en Sala 5,30/04/2024,Dese Cuenta,11
1753,7065-2024,Concepción,19/06/2024,9.0,Resolución,A lo principal: Téngase presente la renuncia. Al otrosí: A sus antecedentes. (,09/04/2024,Ica Informa,16
1754,2476-2023,Valdivia,06/02/2024,11.0,Resolución,Cúmplase CS // Pídase cuenta a la Isapre recurrida acerca del informe ordenado remitir con fecha 26 de Diciembre de 2023,14/12/2023,Cs,10
1766,,,,,,"El recurrido retira demanda, por falta de información proporcionada por la isapre.",,Retira,27
1774,144238-2022,Valparaíso,14/02/2023,12.0,Resolución,7.Estese al mérito de autos,31/10/2022,Ica Informa,16
1775,2384-2018,Valparaíso,07/05/2024,54.0,Resolución,Archívese,20/11/2018,Archivado,6
1782,1224-2024,San Miguel,05/12/2024,13.0,Resolución,Dese Cuenta en la 1ª Sala,19/03/2024,Dese Cuenta,11
1785,30832-2022,San Miguel,20/07/2023,8.0,Resolución,Certificado Inhabilidades,30/11/2022,Inhabilidad,20
1786,,,,,,"Se acoge el recurso en todas sus partes no costas, debiendo Nueva Mas Vida S.A. otorgue la cobertura.",,Acoge,0
1790,,,,,,El apelación es retirado  por incumplimiento de cobertura por parte de la isapre,,Retira,27
1795,,,,,,Fija las costas en contra de la parte Recurr.,,Fija Costas,14
1801,1792-2023,Talca,03/10/2023,11.0,Resolución,Folio 9: No ha lugar,25/10/2023,Nhl,23
1805,170273-2022,Valparaíso,07/12/2022,5.0,Resolución,(.11) Interpuesto Recurso de P,01/12/2022,Admisibles,3
1809,,,,,,(GES2025) prescinde informe,,Prescinde,25
1812,733-2024,La Serena,07/11/2024,19.0,Resolución,Cúmplase CS/Rev.-Rechazado,04/05/2024,Cs,10
1814,,,,,,Se rechazaa el la presente acción con costas al demandante por no adjuntar los documentos solicitados,,Rechazada,26
1816,,,,,,Téngase por y por acompañados los documentos,,Téngase Presente,28
1817,,,,,,Los costos han sido fijados por la Corte de Apelaciones de Puerto Montt en 200.000 UF.,,Fija Costas,14
1818,,,,,,Apercibimiento: se deja constancia en autos de la inacción de Rcte..,,Apercibe,5
1825,22184-2024,Concepción,03/01/2025,10.0,Resolución,(PG24)ev.informe/fondo(rbf),28/11/2024,Evacua Informe,12
1831,18995-2024,Concepción,13/11/2024,12.0,Resolución,Ev. Informe // Por acompañado docs,15/09/2024,Evacua Informe,12
1834,481-2024,Chillan,26/04/2024,7.0,Resolución,Concede ampliación de Plazo por el término de 10 días,16/04/2024,Ica Amplia Plazo,15
1837,,,,,,Acumula al rol 786-2002,,Acumulación,2
1842,617-2024,Chillan,12/06/2024,9.0,Resolución,Reitera informe a la Isapre dentro del 5to día,13/05/2024,Ica Solicita Diligencia,17
1844,,,,,,El rol 104-2008  Acum. 255-2020.,,Acumulación,2
1845,1621-2024,San Miguel,28/11/2024,10.0,Resolución,Agréguese Extraordinariamente a la tabla del 02 de diciembre,28/03/2024,Agréguese A Tabla,4
1846,,,,,,"Por negativa injustificada de cobertura por parte de isapres, se sancionó con una multa de de 20 a 200 UTM.",,Multa,22
1852,,,,,,n.h.l. lo obrado por la Corte de Apelaciones de de Chillán,,Nhl,23
1855,,,,,,(PBEx26)Tgse. pres. (GC),,Téngase Presente,28
1862,144233-2022,Valparaíso,25/01/2023,12.0,Resolución,"(12.)Por Evacuado Informe, en",30/10/2022,Evacua Informe,12
1863,17357-2024,Santiago,25/07/2024,4.0,Resolución,Concede O.N.I.,23/10/2024,Oni,24
1876,492-2024,Copiapó,03/01/2025,16.0,Resolución,Futura Tabla,28/11/2024,Agréguese A Tabla,4
1884,,,,,,La ica de santiago ha prescindido de la Dte. por no dar cumplimiento.,,Prescinde,25
1892,,,,,,requiere presentar pruebas adicionales que respalden la demanda para aclarar aspectos no definidos en la resolución en 9 días hábiles.,,Ica Solicita Diligencia,17
1894,,,,,,"Por aumento desproporcionado de planes de isapres, se sancionó con una multa de de 1 a 5 UTM.",,Multa,22
1899,1354-2023,Talca,13/02/2024,59.0,Resolución,DCuenta 3a Sala,14/09/2023,Dese Cuenta,11
1902,17925-2024,Concepción,27/09/2024,6.0,Resolución,Pide informe cuenta con respecto al informe dentro de 05 días hábiles.,03/07/2024,Ica Solicita Diligencia,17
1912,,,,,,Tgs. por cúmplase corte suprema,,Cs,10
1915,,,,,,Este a la disponibilidad de esta CHILL de Talca a su ingreso y prioridad.,,Acuerdo,1
1920,37441-2019,Concepción,04/11/2020,13.0,Resolución,Fija Costas (JC),09/10/2019,Fija Costas,14
1927,25633-2022,San Miguel,30/03/2023,8.0,Resolución,Certifíquese(isa)/Duplicidad G,02/11/2022,Certifiquese,8
1929,,,,,,Ptn. Inf. cumplimiento de sentencia,,Ica Solicita Diligencia,17
1931,145177-2022,Valparaíso,24/04/2023,17.0,Resolución,NMV8. Téngase Presente,01/11/2022,Téngase Presente,28
1933,7316-2024,Temuco,30/10/2024,3.0,Resolución,Dese Cuenta ONI 2,29/10/2024,Dese Cuenta,11
1936,,,,,,(PB)C.Recurso/R.R(ma),,Concede Apelación,9
1943,,,,,,La apelación es inadmisible.a (por aumento injustificado de costos por la isapre).,,Inadmisible/Omite,18
1951,2019-2024,San Miguel,09/12/2024,6.0,Resolución,Agréguese Extraordinariamente a la tabla del 11 de diciembre,08/04/2024,Agréguese A Tabla,4
1956,,,,,,F.13 Rep. Rech/Concede Ap.,,Concede Apelación,9
1963,259-2024,Iquique,24/04/2024,3.0,Resolución,"Se declara admisible, 10 días. NHL ONI.",,Admisibles,3
1964,,,,,,Téngase por por cumplida lo req. por la corte,,Téngase Presente,28
1972,7102-2023,Concepción,19/12/2023,11.0,Resolución,En lo principal y al otrosí: Estese al mérito de autos.,27/04/2023,Ica Informa,16
1987,,,,,,El acción inicia su tramtiacion.,,Inicio Tramitación,21
1995,,,,,,(TF) Este al mérito (JQQ),,Ica Informa,16
1997,,,,,,hace efectivo Apercib. a Recurrente.,,Apercibe,5
2001,2992-2024,Valdivia,08/11/2024,2.0,Resolución,"Previo a proveer y para el examen de admisibilidad, de conformidad a lo establecido en los numerales 1 y 2 del Auto Acordado sobre Tramitación y Fallo del Recurso de Protección de Garantías Constitucionales, y atento a los documentos acompañados, acredite su domicilio la recurrente para determinar donde ocurrió u ocurre el acto u omisión ilegal o arbitraria que denuncia o donde se producen sus efectos dentro del término de quinto (5°) día hábil y si no lo hiciere se tendrá por no presentada la acción y se procederá al archivo",06/11/2024,Archivado,6
2006,2515-2023,Valdivia,26/12/2023,3.0,Resolución,"Se declara admisible, 06 días.",18/12/2023,Admisibles,3
2017,,,,,,transcurrido el plazo de 18 dias dese estricto cumplimiento al articulo 125,,Art / Numeral,7
2018,21032-2024,Concepción,29/11/2024,7.0,Sentencia,"Atendido el mérito de los antecedentes, de los cuales aparece que no se ha dado cumplimiento a lo ordenado en la resolución de fecha 22 de noviembre de 2024, dentro del plazo fijado, se hace efectivo el apercibimiento allí decretado y, en consecuencia, se dispone el archivo de estos antecedentes.",17/11/2024,Apercibe,5
2019,141610-2022,Valparaíso,27/12/2022,8.0,Resolución,"(11). Por Evacuado Informe, en",27/10/2022,Evacua Informe,12
2032,,,,,,El la presente acción se encuentra archivado por incumplimiento de cobertura por parte de la isapre.,,Archivado,6
2035,965-2024,Rancagua,29/10/2024,11.0,Resolución,Trámite/Pide Informe Isapre,04/07/2024,Ica Informa,16
2042,,,,,,(PB2025)ha interpuesto recurso(OX),,Admisibles,3
2048,,,,,,"En Santiago, la Corte de Apelaciones establece los valores en 3 dólares.",,Fija Costas,14
2051,151529-2022,Valparaíso,27/12/2022,8.0,Resolución,"3. Por evacuado Informe, en re",06/11/2022,Evacua Informe,12
2052,,,,,,hace efectivo Apcb. a Rcrda..,,Apercibe,5
2056,165843-2022,Valparaíso,24/11/2023,7.0,Resolución,"Advirtiendo que no se generó la comunicación automática de la resolución mediante la cual se tuvo por interpuesto el recurso de protección y se solicitó informe a la Isapre recurrida, de fecha cinco de diciembre de dos mil veintidós, de folio 4, comuníquese con esta fecha // Se declara admisible, 08 días. Concede ONI.",30/11/2022,Admisibles,3
2057,2248-2023,Valdivia,16/05/2024,22.0,Resolución,Dese Cuenta Segunda Sala,17/11/2023,Dese Cuenta,11
2063,18849-2024,Concepción,04/10/2024,10.0,Resolución,Agréguese Extraordinariamente a la tabla del 08 de octubre // ER/Cumple lo ordenado,03/09/2024,Agréguese A Tabla,4
2064,1271-2024,La Serena,15/07/2024,8.0,Resolución,": Atendido los fundamentos esgrimidos, se hace lugar a la reposición y en consecuencia se deja sin efecto la resolución de folio N° 5, y en su lugar se resuelve: Atendido el mérito de los antecedentes, no se hace lugar a la orden de no innovar solicitada. Al primer y segundo otrosí: Estese a lo resuelto a lo principal. Al tercer y cuarto otrosí: Téngase presente, por acreditada personería y por acompañado el documento. Comuníquese por la vía más expedita",16/08/2024,Ica Informa,16
2065,,,,,,al folio 21: no ha lugáor lo Pet. ,,Nhl,23
2069,12927-2024,Concepción,04/06/2024,12.0,Resolución,Agréguese Extraordinariamente a la tabla del 06 de junio// Téngase presente y por cumplido lo ordenado,07/05/2024,Agréguese A Tabla,4
2078,193-2024,Copiapó,14/05/2024,16.0,Resolución,NHL Reposición /Futura tabla,11/04/2024,Agréguese A Tabla,4
2079,,,,,,Según lo informado por Den. en el folio 23: no ha lugar,,Nhl,23
2081,5950-2022,Valparaíso,19/01/2023,12.0,Resolución,(11) Cumplimiento con Citación,13/02/2022,Ica Solicita Diligencia,17
2082,198-2024,Santiago,10/06/2024,23.0,Resolución,"el transcurso del plazo conferido en la resolución de fecha veintinueve de mayo de dos mil veinticuatro; y teniendo presente la naturaleza cautelar y urgente de la presente acción constitucional, téngase por cumplida la sentencia definitiva dictada en estos autos",18/03/2024,Téngase Presente,28
2084,20662-2024,Concepción,07/01/2025,14.0,Resolución,Al escrito orden de no innovar: Estese al mérito de autos,14/11/2024,Ica Informa,16
2088,,,,,,"La corte declara inadmisible la demanda, incumplimiento de plazos administrativos por la isapre.",,Inadmisible/Omite,18
2090,741-2024,La Serena,12/06/2024,13.0,Resolución,Ev. Informe // Agréguese extraordinariamente a la tabla del 14-06,07/05/2024,Agréguese A Tabla,4
2091,19179-2023,Concepción,03/11/2023,2.0,Resolución,"Para resolver, existiendo discordancia entre el domicilio contenido en carta de adecuación acompañada en autos y el señalado en el recurso, aclárese el domicilio del recurrente, dentro de cinco días hábiles, bajo apercibimiento, en caso de incumplimiento, de archivar estos antecedentes.",25/10/2023,Apercibe,5
2092,2191-2024,Valdivia,27/09/2024,12.0,Resolución,Acogida sin costas // Agréguese Extraordinariamente el 2 de oct,08/08/2024,Acoge,0
2099,6634-2023,Concepción,30/05/2023,10.0,Resolución,(PB)Ev.Inf./AER/Fdo(LALL),26/04/2023,Evacua Informe,12
2102,2278-2018,San Miguel,31/03/2022,28.0,Resolución,Pide Informe fondo,17/08/2018,Ica Solicita Diligencia,17
2103,,,,,,El acción pasó a archivo por incumplimiento de plazos administrativos por la isapre.,,Archivado,6
2116,15312-2023,Concepción,13/12/2023,10.0,Resolución,A todo: Estese al mérito de autos,25/07/2023,Ica Informa,16
2130,7437-2024,Temuco,02/01/2025,18.0,Resolución,"tendido el tiempo transcurrido, especialmente que no se ha dado cumplimiento por parte de la Isapre recurrida a lo ordenado por esta Corte, pasen los autos a Sala, para los fines que diere lugar",05/11/2024,Ica Informa,16
2136,,,,,,Concedida la apelacion de la parte isapre,,Concede Apelación,9
2151,,,,,,"En Santiago, la Corte de Apelaciones establece los cotizaciones en 400.000 UF.",,Fija Costas,14
2156,18166-2024,Concepción,16/08/2024,9.0,Resolución,Ev. Informe. En relación // Agréguese Extraordinariamente  a la tabla del 20 de agosto,15/07/2024,Agréguese A Tabla,4
2165,3253-2024,Valparaíso,22/07/2024,10.0,Resolución,Agréguese Extraordinariamente a la tabla del 25 de julio,11/04/2024,Agréguese A Tabla,4
2170,25108-2024,Santiago,12/12/2024,6.0,Resolución,Previo a Admisibilidad cumpla el rcte dentro del plazo de 05 días,03/12/2024,Ica Solicita Diligencia,17
2171,461-2024,Antofagasta,04/04/2024,6.0,Resolución,A Sala Previo Sorteo // Interpuesto Recurso PB 2024,28/03/2024,Admisibles,3
2176,,,,,,Teng. pres. el mandato de el ab. recurrente,,Téngase Presente,28
2177,168567-2022,Valparaíso,06/12/2022,4.0,Resolución,(3) Interpuesto recurso de Pro,30/11/2022,Admisibles,3
2180,14123-2024,Santiago,12/08/2024,13.0,Resolución,"Concede Recurso, Interconexion",28/05/2024,Concede Apelación,9
2182,,,,,,Tgse. pres. la certificación por la parte Aplte.,,Certifiquese,8
2183,,,,,,comparte recursos,,Ica Informa,16
2185,17983-2023,Concepción,05/03/2024,10.0,Resolución,Agréguese extraordinariamente a la tabla del 07 de marzo,21/09/2023,Agréguese A Tabla,4
2189,787-2020,Punta Arenas,30/12/2022,30.0,Resolución,Dese Cuenta en Sala (CM),27/05/2020,Dese Cuenta,11
2190,,,,,,Revuelve causa fallada a favor de la parte Terc. Int.,,Fallo/Desestima,13
2193,352-2024,Temuco,26/08/2024,34.0,Resolución,Pasen los antec. a la sala Tur,11/03/2024,Ica Informa,16
2194,16296-2024,Concepción,06/11/2024,27.0,Resolución,Agréguese Extraordinariamente a la tabla del 08 de noviembre // En Relación/Evacua informe UDEC,31/05/2024,Agréguese A Tabla,4
2196,,,,,,"En Arica, la Corte de Apelaciones establece los costos en 100.000 unidades.",,Fija Costas,14
2201,,,,,,Tse. por informado el numeral °14,,Art / Numeral,7
2207,,,,,,Según lo informado por Fcal. en el folio 77: nhl,,Nhl,23
2212,1804-2024,Antofagasta,09/12/2024,26.0,Resolución,Por cumplido lo ordenado. Téngase presente lo informado por la recurrida. Archívese.,25/07/2024,Archivado,6
2216,,,,,,(PB)AER pres. Fun (RZc),,Prescinde,25
2219,37476-2019,Concepción,17/01/2020,4.0,Resolución,INTERPUESTO GES,09/10/2019,Admisibles,3
2220,1328-2022,Concepción,08/06/2022,15.0,Resolución,Cúmplase CS (luc),02/12/2022,Cs,10
2221,,,,,,dse cuenta lo solicitado por la corte de Ilustrísima Corte de Apelaciones,,Dese Cuenta,11
2222,5503-2024,San Miguel,11/12/2024,10.0,Resolución,NHL reposición // Concede ampliación de plazo por el término de 05 días hábiles,28/11/2024,Ica Amplia Plazo,15
2225,1743-2024,Temuco,29/04/2024,9.0,Resolución,Concede ampliación de Plazo por el lapso de 08 días,28/03/2024,Ica Amplia Plazo,15
2226,22676-2024,Concepción,07/01/2025,8.0,Resolución,Se pronuncia incompetencia,03/12/2024,Incompetencia,19
2230,,,,,,"En Santiago, la Corte de Apelaciones establece los tarifas en 5 UTM.",,Fija Costas,14
2242,6472-2023,Temuco,24/11/2023,25.0,Resolución,Dese Cuenta en Sala Tramitador,25/05/2023,Dese Cuenta,11
2244,,,,,,C.A. informa numeral 14,,Art / Numeral,7
2250,,,,,,Téng. por desestimado el fallo,,Fallo/Desestima,13
2253,171-2024,Santiago,12/08/2024,23.0,Resolución,"atendido el estado procesal de la presente causa, solicítese lo que corresponda",04/03/2024,Archivado,6
2258,1354-2023,Talca,06/02/2024,55.0,Resolución,DCuenta 3a Sala/traslado,14/09/2023,Dese Cuenta,11
2269,,,,,,La corte inadmis. la recurso discrepancia en el cálculo de planes por la isapre.,,Inadmisible/Omite,18
2273,,,,,,(PB) prescinde informe,,Prescinde,25
2279,153-2024,Valdivia,03/04/2024,17.0,Resolución,Cúmplase CS 106-2024,01/02/2024,Cs,10
2281,,,,,,"Prescinde de la Imptdo., por no notificar.",,Prescinde,25
2294,167101-2022,Valparaíso,23/02/2023,11.0,Resolución,(8) Cambio carátula,30/11/2022,Ica Informa,16
2298,1625-2024,San Miguel,04/04/2024,5.0,Resolución,Interpuesto RP/Concede oni,28/03/2024,Admisibles,3
2301,19523-2024,Concepción,07/11/2024,7.0,Resolución,Concede ampliación de plazo por el plazo solicitado,18/10/2024,Ica Amplia Plazo,15
2304,,,,,,al folio 84: N.H.L. lo Pd. ,,Nhl,23
2307,,,,,,(Plan Complementario)Omite Pronunciamiento(jql),,Inadmisible/Omite,18
2308,423-2024,Talca,17/06/2024,11.0,Resolución,agréguese a la tabla según su disponibilidad,20/03/2024,Agréguese A Tabla,4
2312,,,,,,cert. lo solicitado por la CA de Arica.,,Certifiquese,8
2328,1255-2023,Concepción,07/09/2023,11.0,Resolución,"No habiendo informado la Isapre recurrida sobre el fondo del asunto, reitérese oficio a la misma, para que informe explicando de manera pormenorizada las razones por las cuales sus tablas de factores establecen precios diferenciados según sexo o edad del afiliado, remitiendo, además, todos los antecedentes que existan en su poder sobre el asunto motivo de esta acción, especialmente copia del FORMULARIO ÚNICO DE NOTIFICACIÓN QUE DA CUENTA DE LA COTIZACIÓN PACTADA Y VIGENTE AL MOMENTO DE LA INTERPOSICIÓN DEL RECURSO DE PROTECCIÓN. Dicho informe y su documentación deberán adjuntarse en forma digitalizada, debiendo evacuarlo dentro del plazo de diez días",14/09/2023,Ica Solicita Diligencia,17
2329,,,,,,Retira (el solicitud) por por no dar cumplimiento a lo solicitado,,Retira,27
2333,2374-2024,Santiago,30/07/2024,12.0,Resolución,"Por advertir esta Corte que en la parte resolutiva de la sentencia de veintiséis de julio pasado se individualiza incorrectamente a la recurrida, y en virtud de lo dispuesto en el artículo 184 del Código de Procedimiento Civil, se la rectifica, sustituyendo en el citado apartado la referencia a “Isapre Cruz Blanca S.A.” por “Isapre Nueva Masvida S.A.”. Rectifica o complementa",19/03/2024,Ica Informa,16
2335,,,,,,"El juez de la Corte de Apelaciones se declara inhábil, por parentesco con la parte interesada",,Inhabilidad,20
2344,13662-2023,Temuco,03/11/2023,7.0,Resolución,Reposición Rechaza // Dese Cuenta en Sala 1,25/10/2023,Dese Cuenta,11
2356,,,,,,Agrégue Extra/A.R. 4-11,,Agréguese A Tabla,4
2360,1428-2024,Temuco,24/06/2024,10.0,Resolución,Agréguese Extraordinariamente a la tabla del 26 de junio,26/03/2024,Agréguese A Tabla,4
2361,3222-2023,Rancagua,11/01/2024,20.0,Resolución,"Atendido el tiempo transcurrido, sin que a la fecha se hubiere dado cumplimiento a lo ordenado con fecha 14 de diciembre, pídase cuenta en carácter de suma urgencia a la FUNDACION EDUCACIONAL CRISTINA ADONAY, domiciliada en Calle Lircay N° 1041, Población Algarrobo, Comuna de Rancagua, respecto de la diligencia decretada por esta Corte a Folio N°16. Acompáñese al efecto los antecedentes necesarios para su debida inteligencia. Urge el cumplimiento de la diligencia decretada, atendido el tiempo transcurrido. Sirva la presente resolución de suficiente y atento oficio remisor. Notifíquese la presente resolución personalmente o de conformidad a lo dispuesto en el artículo 44 del Código de Procedimiento Civil, por Carabineros de Chile.",16/10/2023,Ica Solicita Diligencia,17
2364,,,,,,El rol 823-2037 Acumulado a 937-2050.,,Acumulación,2
2366,19491-2024,Concepción,13/11/2024,11.0,Resolución,Ev. Informe. En relación // Por acompañados docs,18/10/2024,Evacua Informe,12
2380,,,,,,"La TEM omte proncunc., la petición, falta de pruebas.",,Inadmisible/Omite,18
2391,11292-2022,Valparaíso,05/04/2022,5.0,Resolución,Concede plazo,09/03/2022,Ica Amplia Plazo,15
2396,,,,,,(PBEx25)Concede Recurso(LALL),,Concede Apelación,9
2399,,,,,,A.R./Agrégue Extra 8-3,,Agréguese A Tabla,4
2405,,,,,,"Por negativa injustificada de cobertura por parte de isapres, se multó con un rango de de 10 a 50 UTM.",,Multa,22
2406,,,,,,(..6) Cumplimiento con Citacion,,Ica Solicita Diligencia,17
2408,,,,,,La corte declara inadmisible la petición desistimiento.,,Inadmisible/Omite,18
2417,1621-2024,San Miguel,04/04/2024,5.0,Resolución,Interpuesto R.P/Concede ONI,28/03/2024,Admisibles,3
2428,,,,,,El rol 839-2025  acumúlese 269-2038.,,Acumulación,2
2430,387-2020,Coyhaique,03/08/2020,5.0,Resolución,Pide Informe,17/12/2020,Ica Solicita Diligencia,17
2434,,,,,,c.s.revoca,,Cs,10
2441,,,,,,El apelación pasó a archivo por incumplimiento de plazos administrativos por la isapre.,,Archivado,6
2447,150494-2022,Valparaíso,02/02/2023,10.0,Resolución,(7)Estese al mérito de autos,05/11/2022,Ica Informa,16
2466,145172-2022,Valparaíso,30/12/2022,8.0,Resolución,"(8.) Por Evacuado Informe, en",01/11/2022,Evacua Informe,12
2467,,,,,,d. cuenta el escrito de la Querellado,,Dese Cuenta,11
2471,,,,,,d cuenta el escrito de la Test.,,Dese Cuenta,11
2473,37466-2019,Concepción,04/08/2020,7.0,Resolución,En Relación 1,09/10/2019,Evacua Informe,12
2480,,,,,,El solicitud ha sido rechazao con costas por discrepancia en el cálculo de planes por la isapre,,Rechazada,26
2487,,,,,,según lo estipulado por la Corte de de Corte de Apelaciones de se concede la apelación elévense,,Concede Apelación,9
2492,14266-2024,Concepción,21/11/2024,10.0,Resolución,"No existiendo constancia en autos de haberse efectuado la comunicación automática de la sentencia definitiva, hágase con esta fecha. // Rechazada sin costas",20/05/2024,Ica Solicita Diligencia,17
2493,,,,,,La sanción por infracciones viales graves consiste en una multa de de 1 a 5 UTM.,,Multa,22
2495,,,,,,Se aplicará una multa de de 20 a 200 UTM por no cumple lo ordenado.,,Multa,22
2497,,,,,,(TFRN2) se certifica Duplicidad (PBD,,Certifiquese,8
2503,,,,,,Por Falta de interés legítimo o parte afectada. a lo solicitado por la corte de Talca téngase por declarado la inadmisivle,,Incompetencia,19
2505,13629-2023,Concepción,13/02/2024,12.0,Resolución,Estese al mérito de autos// Agréguese extraordinariamente a la tabla del 15 de febrero,01/07/2023,Agréguese A Tabla,4
2506,,,,,,al folio 2: d cta,,Dese Cuenta,11
2510,3172-2024,San Miguel,11/12/2024,9.0,Resolución,Agréguese Extraordinariamente a la tabla del 13 de diciembre,22/05/2024,Agréguese A Tabla,4
2511,,,,,,El fiscal manifiesta inhabilidad por por tener interés directo en el resultado del proceso.,,Inhabilidad,20
2513,,,,,,Por Duplicidad del recurso o presentación reiterada sin novedad. a lo solicitado por la corte de Punta Arenas téngase por declarado la inadmisivle,,Incompetencia,19
2518,266-2024,Punta Arenas,13/05/2024,12.0,Resolución,Por evacuado Informe. En relación,29/04/2024,Evacua Informe,12
2528,23038-2024,Concepción,08/01/2025,9.0,Resolución,Agréguese Extraordinariamente a la tabla del 10 de enero // Ev. Informe. En relación.,10/12/2024,Agréguese A Tabla,4
2532,,,,,,dc cuenta lo solicitado por la corte de Tribunal de Apelaciones,,Dese Cuenta,11
2533,,,,,,"(Plan Complementario)Rechazada/MasVida(JQQ)El apelación se rechazaa con costas repartidas, por falta de información proporcionada por la isapre",,Rechazada,26
2540,1776-2023,Talca,02/11/2023,8.0,Resolución,Admisible/NHL ONI/Pide Informe,23/10/2023,Admisibles,3
2543,144996-2022,Valparaíso,13/04/2023,16.0,Resolución,nmv 3.Téngase Presente,01/11/2022,Téngase Presente,28
2544,,,,,,La demanda fue inadmis.a prescripción.,,Inadmisible/Omite,18
2546,,,,,,Por iniciado la tramtiacion del acción.,,Inicio Tramitación,21
